,device,topic_level1,topic_level2,topic_level3,action,related topic (noun),title,question,answer,type,comment,
1281,no_device,"['service', 'software']","['service', 'default_apps']",['music'],"unsubscribe service, unsubscribe ringback service","sprint music plus, ringback service",Learn more about Sprint Music Plus,How do I unsubscribe from the ringback service?,"Select ""Settings,"" then ""Manage My Subscriptions"" and then ""Unsubscribe."" A confirmation screen will be displayed. You may also unsubscribe by calling Customer Care at *2 from your Sprint device.",general,,
60,no_device,['device'],[],[],check status of claim,"device protection, status of claim, advanced protection pack claim, ",FAQs about device protection,How can I check the status of my Advanced Protection Pack claim?,"To check the status of your claim, simply visit http://www.phoneclaim.com/sprint and click Track status.",general,,
1893,no_device,[],[],[],[],"buy online, pick up in store, definition","FAQs about Buy Online, Pick Up in Store",What is it?,"Buy online, pick up in store is just that  a service from Sprint that allows you to buy the device you want online at sprint.com and pick it up in a Sprint store of your choosing, usually in the same day and in as little as an hour.",general,,
461,no_device,"['service', 'software']","['plan', 'internet&network']",['roaming'],,"roaming restriction, sprint family plan, changes to sprint family plan",Learn about changes to the Sprint Framily Plan,Are there roaming restrictions?,Yes. Off-network roaming is limited to (1) voice at 800 minutes or a majority of minutes and (2) data at 100MB or a majority of kilobytes.,general,,
146,no_device,['software'],['internet&network'],"['hotspot', 'internet']",maximize internet speed,"netgear zing mobile hotspot, internet speed",FAQs about getting the most out of your Netgear Zing Mobile Hotspot,What can I do to maximize my Internet speed?,"Be sure that your hotspot has good signal strength. Minimize the number of obstructions (such as walls, doors, and metal surfaces) between your hotspot and connected devices. Disconnect any devices that you aren't using right now. The more devices that you connect to your hotspot, the slower the potential browsing speed.",general,,
724,no_device,['troubleshoot'],[],[],"troubleshoot phone, trouble shoot device turn on",device doesn't turn on,Troubleshoot when your Nexus 5X doesn't turn on,Troubleshoot when your Nexus 5X doesn't turn on,"This article helps troubleshoot your Nexus 5X not turning on
You may have this issue if your Nexus 5X:
Doesn't turn on Starts to turn on but restarts or shuts down before it turns on completely
Try each of these steps if your phone doesn't turn on.
Verify that your Nexus 5X has a sufficient charge.
Connect your original charger to your phone. After a few minutes, try to turn on your phone.
Verify that your phone and charging port are not damaged.
Carefully inspect your phone to be sure it's not overheating, swollen or damaged. Carefully inspect your phone's charging port and remove any debris.
Caution: If your phone is damaged, do not complete the remaining steps in this guide. Make an appointment at a convenient Sprint Repair center.
Verify that you are using a compatible charger.
You risk severe damage to your phone if the charger isn't the same voltage, amps, and plug type as your original charger. You can purchase compatible chargers on sprint.com and at any Sprint Store.
Attempt a forced restart of the phone.
Note: If performed correctly, a forced restart will not erase any information from the phone.
Press and hold the Power key for 10 seconds. If the phone starts to power on, release the Power key.
If your Nexus 5X does turn on, verify that it is running the most recent software. Check for software updates.
Attempt a hardware factory reset.
Note: A hardware factory reset will erase ALL information on the phone! Any information that is not backed up online will be PERMANENTLY LOST.
Perform a hardware factory reset.
If you're still having issues, try the Sprint Community pages make an appointment at a convenient Sprint Repair center.",general,,
763,appl_iphon_4_8gb,['hardware'],['TV'],[],"connect phone to TV, connect device to TV",,FAQs related to connecting your Apple iPhone 4 to a TV,How do I connect my Apple iPhone 4 to my TV?,"Connect your Apple iPhone 4 to the optional Apple Digital AV Adapter (sold separately by Apple). Connect one end of an HDMI (High-Definition Multimedia Interface) cable to the Apple Digital AV Adapter. Connect the other end of the HDMI cable to an available HDMI port on the TV. Change the TV input to the adapter input. The TV does not mirror the display, but displays photos, videos, applications, and more when selected on your Apple iPhone 4.",device,,
945,no_device,['service'],['plan'],[],,"sprint family plan, changes to plan, sprint unlimited guarantee",Learn about changes to the Sprint Framily Plan,Is the Sprint Unlimited Guarantee included?,"Yes, the Unlimited Guarantee is also part of the Sprint Framily plan, therefore, you will maintain the Unlimited Guarantee on the unlimited talk, text and data features as long as you remain a customer in good standing. If you choose the 1GB or 3GB data option for a line, the Sprint Unlimited Guarantee applies only to unlimited talk and text.",general,,
36,no_device,['software'],"['email', 'calls']",['voicemail'],,"sprint voicemail, expert model",FAQs about Sprint voicemail,What is expert mode in voicemail?,"Expert mode is a shortening of the voice prompts you hear at each level. Using the expert mode setting for your personal voicemail box helps you navigate through the voicemail system more quickly. To change your expert mode setting: Call Voicemail and enter your passcode if prompted When prompted, press the number given for Personal Options Press the number given for Expert Mode The system will give status of your Expert Mode setting (on or off) and tell you how to change it.",general,,
1672,no_device,['software'],"['message', 'default_apps']",['picture'],"block picture messaging, block video messaging, allow picture messaging, allow video messaging","picture messaging, video messaging, my sprint",Block or allow picture and video messaging via My Sprint,Block or allow picture and video messaging via My Sprint,"You can control whether users on your account can send, receive and upload pictures and video. These controls do not restrict the ability to attach pictures to emails.
To block pictures and videos, you must have a valid My Sprint account and be set up with an account owner profile. Account owners can block all phones associated with their account. If you are not an account owner and do not have permission to change settings on your account, you will see a message showing your current picture and video settings. Read more about the different levels of profile access on sprint.com.
Block picture and video messaging services:
Sign in to sprint.com with valid username and password Click the My Preferences tab Under Limits and Permissions , click Block pictures and videos Select the phone you wish to block - a green checkmark will appear showing that phone is selected Click Save to block picture and video messaging services If changes were saved successfully, you will see the following confirmation message: Thank you! We've saved your changes. You will see a Blocked icon next to the phone that has picture and video messaging blocked. Turn your phone off and back on for the new settings to take effect. These changes will take effect within 15 minutes.
Allow picture and video messaging services:
Sign in to sprint.com with valid username and password Click the My Preferences tab Under Limits and Permissions , select Block pictures and videos Select the phone you wish to unblock - a green checkmark will appear indicating the choice to unblock that phone Click Save If changes were saved successfully, you will see the following confirmation message: Thank you! We've saved your changes. Restrictions will be removed and you will be able to send and receive pictures on your phone. Turn your phone off and back on for the new settings to take effect. These changes will take effect within 15 minutes.
Note: If you have more than 100 devices on your account, only the first 100 show in My Sprint. To change the rest, contact us by dialing *2 on your Sprint phone.",general,,
894,no_device,['software'],['default_apps'],['music'],,"sprint music plus, ringback tones",Learn more about Sprint Music Plus,What are ringback tones?,"Ringback tones allow you to pick what callers hear while they wait for you to answer the phone. A monthly subscription is required to use ringback tones. Individual ringback tones need to be purchased and assigned after you have subscribed. You can assign the ringback tone to all callers or individual callers and even customize based on time of day. You can also create a ringback tone shuffle list, where selected tones will play randomly.
",general,,
937,no_device,"['hardware', 'software']","['equipment', 'default_apps']",['files'],"file claim, file insurance claim","equipment replacement program, insurance claim",File an Equipment Replacement Program insurance claim,File an Equipment Replacement Program insurance claim,"If your device is lost or stolen, contact us immediately at 1-888-211-4727 to
suspend your service. Be sure to file your claim within 60 days of the loss. To file your claim or check your claim status online, go to www.phoneclaim.com/sprint . To file your claim or check your claim or shipping status by phone, call
Asurion Customer Care at 1-800-584-3666. If your device has been damaged, we will send you shipping materials to return
it. You are responsible for the non-refundable deductible for each approved claim.
The amount of the deductible is determined by the model of your device. When your claim is approved, you will receive the same device as your original
or a comparable device with similar quality and features. Replacement devices
may be refurbished, reconditioned or different from your original device.
For complete coverage details and contact information, see the Equipment Replacement Program Coverage Certificate.",general,,
1140,appl_iphon_4_8gb,['troubleshoot'],[],[],"troubleshoot phone, troubleshoot device","slow device, slow phone, phone freezes, device freezes, device turns off unexpectedly","Troubleshoot when your Apple iPhone 4 slows, freezes, or turns off unexpectedly","Troubleshoot when your Apple iPhone 4 slows, freezes, or turns off unexpectedly","This article helps troubleshoot your Apple iPhone 4 slowing, freezing, or turning off unexpectedly. 
   You may have performance issues if your Apple iPhone 4: 
    
    Performs slowly 
    Freezes 
    Turns off or unexpectedly restarts 
    Displays error messages 
    Is unable to install or update applications 
    
     
   Try each of these steps to see if it helps improve your phone's performance. 
    
     Perform a soft reset.  A soft reset restarts your phone and does not erase any of your content or data. 
      
      From the home screen, press and hold the Power key and Home key. 
      Release the keys when the Apple logo appears. 
      You Apple iPhone 4 restarts. 
       
     Determine if your phone has low memory. 
      
      From the home screen, tap Settings. 
      Tap General. 
      Tap Usage.  
      If your phone has low memory, troubleshoot low memory issues. 
       
     Close background applications. Some apps continue to run in the background after you exit them. Sprint recommends that you close background applications when you're not using them.  
     Verify that your Apple iPhone 4 is running the most recent software. There may be a software update that improves battery life on your phone. Check for software updates.  
    
   If you're still having issues, try the Sprint Community pages or make an appointment at a convenient Sprint Repair center.",device,,
235,no_device,"['bill', 'software']","['cost', 'internet&network']","['hotspot', 'wifi']",['use'],"wifit hotspot, mobile wifi hotspot",FAQs related to Wi-Fi hotspots and your Apple iPhone 6,Does it cost more to use my Apple iPhone 6 as a mobile Wi-Fi hotspot?,Yes. You can add the Sprint Mobile Wi-Fi Hotspot service to your Apple iPhone 6. The cost is based on the add-on you choose.,general,,
631,no_device,['account'],['account'],[],"register account, register account online",online account,Register your account online at sprint.com,Register your account online at sprint.com,"Sprint.com gives you easy, secure, 24/7 access to information about your device and account management tools.
It only takes a few minutes to register.
What you'll need to get started:
Account Owners will need to have the billing ZIP code and the account PIN or the answer to the account security question. If you forgot the PIN, we can send you a one-time passcode during registration. To register as a device user instead of an account owner, you'll need to have your device handy in order to receive a text message.
Read more about the different levels of profile access on sprint.com.
Sign up for access to sprint.com:
Go to sprint.com . Click Sign in . Then click Create my profile . Enter your phone number. Next, Verify your identity . Complete one of the three options: Account Owners, Enter my Sprint PIN number - Enter your billing ZIP code and PIN to create an Account Owner profile. Account Owners, Answer my security question OR send me a retrieval code - Complete one of these: Answer your security question - Enter your billing ZIP code, last 4-digits of the account holder SSN and answer the security question. Retrieval code  Enter your billing ZIP code and last 4-digits of the account holder SSN. Once your account is verified, you will be allowed to register as an account owner. Device users, Someone else pays the bill, so I don't need to see billing info - Once your device is verified, you will be allowed to see your device information, plan information, minutes used and data usage. Next, create your username, password, and enter your email address. Then select Finish . Your email address will be used to notify you when changes are made to your profile or to retrieve your password if you forget it. We'll also use it to confirm your sign up for sprint.com. Congrats! You are done when you see the Success page. You may either: Click Sign in to My Sprint and directly access your online profile; or Retrieve the email we sent you. You don't have to do this now but it is required for second sign in.",general,,
1806,samsung_galaxi_s7,['hardware'],['battery'],[],conserve battery life,battery life,Conserve battery life - Samsung Galaxy S7,Conserve battery life - Samsung Galaxy S7,"If the device is experiencing a short battery life, disabling some features and modifying settings may help.

	The display uses most of your battery power. To adjust your display settings to use less power, from the home screen, swipe down the Status bar.

	Tap the Settings icon.

	Scroll to and tap Display.

	Tap and drag the Brightness slider to the lowest comfortable brightness level.

	Note: To allow the device to automatically adjust the screen brightness, tap to check Auto.

	Tap Screen timeout.

	Tap the lowest comfortable Screen timeout setting.

	Tap Always On Display.

	Tap the switch to OFF to disable Always On Display.

	Tap the Back key twice to return to Settings.

	Using a live wallpaper can drain the battery faster.

	Scroll to and tap Wallpaper.

	Ensure that the Wallpaper motion effect switch is OFF, then tap the preferred wallpaper image and tap SET AS WALLPAPER.

	Note: To change the wallpaper for the Lock screen, tap Home screen, then tap Lock screen.

	Swipe down the Status bar.

	Wi-Fi is a faster, lower power connection that can extend battery life by as much as 50%. Be sure that the device is connected to Wi-Fi whenever possible

	However, leaving Bluetooth or GPS on when not actively in use can drain the battery faster.

	Tap to turn off Bluetooth and Location.

	When finished, press the Home key.

	Note: You may need to swipe the quick settings bar to make some options available. The Quick Setting icons are Grey when turned off.

	Some applications can run in the background and use extra battery life.

	Tap the Recent Apps key.

	Swipe an application to the side to close it, or tap the Close icon.

	To close all applications, tap CLOSE ALL.

	Note: Most applications do not use battery power when running in the background, and constantly closing all applications can make the device use more battery power.

	Setting the device to sync less information can improve battery life.

	From the home screen, swipe down the Status bar.

	Tap the Settings icon.

	Scroll to and tap Accounts.

	Tap an account type.

	Note: If prompted, tap to select the account name.

	Tap to disable any unnecessary sync options.

	When finished, tap the Back key twice to return to Settings.

	Note: Repeat as needed for all accounts on the device.

	Turning off vibration can improve battery life.

	From the Settings screen, scroll to and tap Sounds and vibration.

	Scroll to and tap the Vibrate while ringing, Vibration feedback and Keyboard vibration switches OFF.

	When finished, tap the Back key to return to Settings.

	Scroll to and tap Battery.

	Your device has two power saving modes:

	
		Power saving mode: Limits performance and disables background synchronization (emails, messages, and some notifications may not work)
	
		Ultra power saving mode: Drastically changes the interface and functionality, disables most applications and connectivity (only recommended for advanced users).


	To enable one of the power saving modes, tap the mode, then tap the switch to ON.

	When finished, or to skip this step, press the Home key.

	Charging the device on a regular basis will maximize the battery life.

	The charger/connectivity port is located on the bottom of the device.

	Plug the charger into the power socket and then connect it to the device.

	The device is now configured to conserve battery life.",device,,
740,no_device,"['service', 'software']","['service', 'message']",['text'],"block text services, restrict text services, allow text services","text services, My sprint","Block, restrict, or allow text services via My Sprint","Block, restrict, or allow text services via My Sprint","You can control the level of text messaging access for individual phones on your account. Use these controls to block all incoming or outgoing messages, or allow only messages to or from numbers you approve.These changes will take effect within 15 minutes.
To block or unblock text messages, you must have a valid My Sprint account and be set up with an account owner profile. If you are not an account owner and do not have permission to change settings on your account, you will see a message showing your current settings. Read more about the different levels of profile access on sprint.com.
Note: You cannot block or restrict text messaging services for Nextel phones online.
Block or restrict text messaging services:
Sign in to sprint.com with valid username and password Click the My Preferences tab. Under Limits and Permissions , click Block texts . Click on the phone or device to restrict text messages. Choose from the following options to block or restrict texts: Do not block any text messages Block all text messages inbound and outbound Block all inbound text messages Block all outbound text messages Block only these numbers for inbound and outbound text messages Allow only these numbers for inbound and outbound text messages To block or allow specific numbers, enter the phone number, 4- to 8-digit short code, email address, or domain address (e.g. spammer.com) you wish to block in the field and click Add number . The number will be added to the block list. To remove, select the number and click Remove . Once you make your selection, the symbol will change to a green checkmark that says Updated Click Save . If updates were saved successfully you will see the following confirmation message: Thank you! We've saved your changes. Turn your phone off and back on for the new settings to take effect
Allow text messaging services:
Sign in to sprint.com with valid username and password Click the My Preferences tab Under Limits and Permissions , select Block texts Click to select the phone you wish to manage settings for - a Restricted symbol indicates that phone is currently restricted You will see 6 options (same as above) for settings for the phone. To unblock or allow all services, click Do not block any text messages . To allow text messages from specific numbers, select Allow only the following numbers for inbound or outbound messages . Once you make your selection, the symbol will change to a green Updated checkmark Click Save . If updates were saved successfully you will see the following confirmation message: Thank you! We've saved your changes. Turn your phone off and back on for the new settings to take effect. Note : If you have more than 100 devices on your account, only the first 100 show in My Sprint. To change the rest, contact us by dialing *2 on your Sprint phone.",general,,
1597,no_device,['service'],['accessory'],[],purchase accessories,"monthly installment, monthly installments for accessories, purchase location ",FAQs about monthly installments for accessories,Where can customers purchase accessories with monthly installments?,Customers can purchase an accessory in participating company-owned stores. Please visit sprint.com/storelocator to locate a store near you.,general,,
1450,appl_iphon_4_8gb,[],[],[],share video,[],Share a video - Apple iPhone 4,Share a video - Apple iPhone 4,"From the home screen, tap Photos.

	Tap the preferred album.

	Tap the preferred video.

	Tap the Share icon.

	Tap Next.

	Tap the preferred service.

	Enter any additional information, then tap Send or Publish.

	Note:Steps may vary between different services.

	If the service is not already set up on the handset, enter the login information and tap Sign In.

	The video is now shared.",device,,
379,appl_iphon_4_8gb,['software'],[],[],check software update,"software update, pre owned as you go ",Check for software updates - Apple iPhone 4 8GB Certified Pre Owned As You Go,Check for software updates - Apple iPhone 4 8GB Certified Pre Owned As You Go,"From the home screen, tap Settings.

	Tap General.

	Tap Software Update.

	If an update is available, follow the on screen prompts to complete.

	Otherwise, the software is up to date.",device,,
1163,no_device,[],[],[],take selfie,[],Take a selfie with your Apple iPhone 7 Plus,Take a selfie with your Apple iPhone 7 Plus,"Steps to take a selfie with your Apple iPhone 7 Plus
From the home screen, tap Camera . Tap the Switch Camera icon to activate the forward facing camera. To set a color filter, tap the Filter icon and select a filter. To adjust the brightness, tap the screen, then drag the Brightness slider up or down. To change the photo shape from portrait/landscape to square, tap SQUARE . Tap to set the preferred Flash and HDR settings. When ready, tap the Capture button to take the selfie.
Note: To enable or disable Live Photos, tap the  icon.",general,,
354,no_device,[],[],[],[],"familaywall for spring, menmbers of plan",FAQs about FamilyWall for Sprint,How many members can be on my Wall?,"There is no limit to the number of members that can be included on a Wall, just as there is no limit to the number of Walls you can create.
",general,,
192,no_device,"['device', 'service', 'bill']","['pay', 'payment', 'service']",[],cancel service,"sprint one up, 24 device payments, device payments, installment agreement",Learn more about Sprint One Up,What happens if a customer on an Installment Agreement cancels service prior to completing their 24 device payments?,"If a customer on an Installment Agreement cancels service prior to completing their 24 device payments, the full remaining unpaid balance on the device will be due on customer's next invoice.",general,,
1225,appl_iphon_4_8gb,['software'],['setting'],['setting'],"change backup setting, change sync setting, change setting","Pre owned as you go, back up settings, sync setting",Change the backup and sync settings - Apple iPhone 4 8GB Certified Pre Owned As You Go,Change the backup and sync settings - Apple iPhone 4 8GB Certified Pre Owned As You Go,"From the home screen, tap Settings.

	Scroll to and tap Mail, Contacts, Calendars.

	Tap Fetch New Data.

	Tap the Pushtoggle to enable or disable the feature.

	Scroll to and tap the preferred option to set theFetch schedule for accounts that do not support data push.

	Tap Mail.

	The account synchronization settings have been changed.",device,,
1179,no_device,['service'],['eligible'],[],"verify elegibility,","Sprint Discount Program, receiveing discounts",FAQ related to the Sprint Discount Program,Why did I get a request to verify my eligibility to continue receiving the discounts I already receive as part of the Sprint Discount Program?,"Because discounts are based on a contractual relationship between Sprint and the company, individuals requesting a discount must periodically validate their affiliation with the company tied to the discount. We ask all customers that currently receive monthly service discounts to re-validate their eligibility when:
Phone is upgraded and no revalidation has occurred recently. Request is submitted to change from one discount to another.",general,,
489,no_device,"['service', 'bill', 'hardware']","['cost', 'service', 'phone', 'camera']",['phone'],['use'],,FAQs about FamilyWall for Sprint,"What is FamilyWall for Sprint?
		Why is Sprint launching this service?
		What is the cost to customers?
		What is offered with a Premium Subscription?
		How can I get the service on my phone?
		How many Walls can I have?
		How do I invite new members?
		How many members can be on my Wall?
		Can customers on other carriers join my Wall?
		Who can use FamilyWall for Sprint?
		Who can see the information I publish?
		Why would I create multiple Walls?",,general,Is this multiple FAQs,
1349,appl_iphon_4_8gb,['software'],[],[],check software version ,software version,Check the software version - Apple iPhone 4,Check the software version - Apple iPhone 4,"From the home screen, tap Settings.

	Tap General.

	Tap About.

	Scroll down to software version.

	The software version is now displayed.",device,,
467,no_device,['software'],['default_apps'],['music'],use content,"sprint music plus, content , app",Learn more about Sprint Music Plus,"If I uninstall the Sprint Music Plus app, can I still use my content?","Yes, DRM-free content should allow playback on the native device player.
",general,precondition : if uninstall the sprint music plus app,
262,no_device,[],[],[],take selfie,selfie,Take a selfie with your Apple iPhone SE,Take a selfie with your Apple iPhone SE,"Steps to take a selfie with your Apple iPhone SE
From the home screen, tap Camera . Tap the Switch Camera icon to activate the forward facing camera. To set a color filter, tap the Filter icon and select a filter. To adjust the brightness, tap the screen, then drag the Brightness slider up or down. To change the photo shape from portrait/landscape to square, tap SQUARE . Tap to set the preferred Flash and HDR settings. When ready, tap the Capture button to take the selfie.
Note: To enable or disable Live Photos, tap the  icon.",general,,
50,no_device,['service'],['service'],[],,"Familywall for sprint, reason, lauching service",FAQs about FamilyWall for Sprint,Why is Sprint launching this service?,"Sprint is the only U.S. carrier to offer a private social media space to help consumers connect to the people and things that matter most to them. We understand that it is important for our consumers to connect to family and friends in many different ways. FamilyWall for Sprint offers Sprint IL (Individual Liable) consumers a private space to communicate, organize, share, remember and even locate those who matter most.
",general,?,
200,no_device,"['service', 'software']","['number', 'setting', 'email', 'calls']","['setting', 'voicemail']","set rings, set number of rings","rings, voicemail, number of rings",Set the number of rings for voicemail,Set the number of rings for voicemail,"A call will roll to your voicemail if unanswered after 23 seconds.
This setting can't be changed. However, on your Sprint phone, you can change your ring tone to one that reduces or increases the number of rings you hear before an incoming call rolls to voicemail.
For details about setting up and changing your ring tones, refer to the user guide for your phone.",general,,
2078,samsung_galaxi_s7,"['hardware', 'software']",['default_apps'],['key feature'],[],"special edition, basic hardware features,  key feature",FAQs related to key features on your Samsung Galaxy S7 Special Edition,What are the basic hardware features of my Samsung Galaxy S7 Special Edition?,"Memory: 4GB of RAM and 32GB of storage, with support for expanded storage up to 200GB Screen: 5.1 inch Super AMOLED, at a resolution of 1440x2560 Camera: 12 megapixel rear camera, 5 megapixel front camera Processor: 2.2 GHz Quad core Qalcomm MSM8996 Battery: 3000mAh battery Bluetooth: v4.2 NFC",device,,
1784,no_device,"['service', 'hardware', 'software']","['phone', 'available', 'sound', 'default_apps', 'camera']","['rington', 'music', 'phone']",[],"Sprint music plus, full track and rington bundles, credit bundles",FAQs about Sprint Music Plus full track and ringtone bundles,Are Credit Bundles available for purchase on my phone?,"Android phones: You may purchase the Full Track Credit Bundle, Ringtone Credit Bundle and Ringback Tone Credit Bundle via the Sprint Music Plus App (available for download from the Google Play Store). iPhones: We are sorry, Credit Bundles are not available to purchase on iPhones. Win8 phones: You may purchase the Full Track Credit Bundle, Ringtone Credit Bundle and Ringback Tone Credit Bundle via the Sprint Music Plus App (available to download from the App Store). Feature/WAP phones: You may purchase the Full Track Credit Bundle, Ringtone Credit Bundle and Ringback Tone Credit Bundle via the Sprint Music Plus WAP Store .",general,,
506,appl_iphon_4_8gb,['software'],"['internet&network', 'default_apps']","['hotspot', 'wifi', 'key feature']","turn on wifi, turn on hotspot","key features, wifi, hotspot",FAQs related to key features on your Apple iPhone 4,How do I make my Apple iPhone 4 a Wi-Fi hotspot?,"Set up your Apple iPhone 4 as a Wi-Fi hotspot.
Review these Wi-Fi hotspot FAQs",device,,
798,no_device,"['bill', 'software']","['cost', 'internet&network']",['roaming'],[],"global roaming, cost of global roaming",FAQs about Sprint Global Roaming,How much does Sprint Global Roaming cost?,Sprint Global Roaming is available at no extra cost  you only pay for the services you access beyond what is included at no additional charge.,general,,
601,no_device,[],[],[],program device,[],Program your Apple iPhone 4,Program your Apple iPhone 4,"Steps to activate your Apple iPhone 4
Hands free activation
If this is the first time activating your device, hands free activation automatically starts when you power it on for the first time.
With your phone powered off, press and hold the Power key. Swipe to the right to unlock the screen and start the setup process. Tap the preferred language. Tap the preferred country or region. Tap the preferred activation method: To activate using a Wi-Fi connection, tap the preferred Wi-Fi network, enter the network Password , and then tap Join . To activate using a cellular connection, tap Use Cellular Connection . Your Apple iPhone 4 activates. Tap the preferred Location Services option. Tap the preferred setup option. Tap Sign In with Your Apple ID . If you do not have an Apple ID, tap Create a Free Apple ID and follow the prompts, or visit http://appleid.apple.com Enter your Apple ID credentials and tap Next . Read the Terms and Conditions and tap Agree . Read the Terms and Conditions message and tap Agree . Tap the preferred iCloud option. If necessary, tap the preferred Find My Phone option. Tap to check or uncheck the preferred contact options and tap Next . Enter a four-digit passcode. Re-enter the four-digit passcode to confirm. Tap the preferred Siri option and tap Next . Tap the preferred Diagnostics option and tap Next . Tap Get Started  . Your Apple iPhone 4 is ready to be used.
Note: If hands free activation fails, continue to the next guide.
Update the data profile
If this is not the first time activating your device, or hands free activation did not complete successfully, update the data profile.
From the home screen, tap Phone . On the keypad, dial ##873283# and tap Ca ll . Tap OK . Your device searches for profile updates and installs them. Tap Dismiss . Tap the Home key. You've now updated the data profile.
If you are having trouble activating your Apple iPhone 4, make an appointment at a nearby Sprint Store for assistance getting your device programmed.",general,,
1392,no_device,"['device', 'service', 'software', 'hardware']","['phone', 'eligible', 'setting', 'camera']","['notification', 'phone']",,"unlocking policy, prepaid phone, eligible to be unlocked, unlock device",Sprint Prepaid phone unlocking policy and FAQs,Will Sprint Prepaid notify me when my device is eligible to be unlocked/has been unlocked?,"No. Sprint Prepaid elects to post its unlocking policies and procedures online. However, if you believe you meet the above requirements and would like to request that your DSU-capable device be unlocked and/or request the associated MSL Code, contact Sprint Prepaid Customer Care at 855-639-4644.",general,,
1441,samsung_galaxi_s7,[],[],[],use app,sprint zone app,Use the Sprint Zone app - Samsung Galaxy S7,Use the Sprint Zone app - Samsung Galaxy S7,"From the home screen, tap Apps.

	Swipe to and tap Sprint Zone.

	Note: If a Give Permission prompt appears, tap Continue, then review each permission when prompted and tap the preferred option.

	Read the Privacy Statement and tap Continue.

	The Sprint Zone home screen offers an at-a-glance view of account usage including:

	
		Current usage for voice, data, and messaging
	
		Bill cycle and current account balance


	Scroll down to view additional options.

	Note: To view additional usage detail, tap Usage details.

	In addition to current usage information, Sprint Zone also offers access to the following:

	
		Billing: Manage your bill and payments.
	
		Account: Manage your Sprint account, including your plan, limits, and upgrade eligibility.
	
		Support: Access a variety of resources to learn more about the device, including How To's, FAQ's, and basic troubleshooting assistance.
	
		Appointments: Locate the nearest Sprint store or partner store, and schedule an appointment.


	To access the Settings menu, tap the Menu icon or swipe right from the left edge of the screen.

	Additional options are available in the Settings menu:

	
		Sprint News: View the latest news from Sprint.
	
		Settings: Change notification settings and refresh Sprint Zone content.
	
		Notifications: View important messages from Sprint.


	To return to the Sprint Zone home screen, tap the Back key or swipe left.

	To access the Sprint Zone diagnostic tools, tap Support.

	Tap Diagnostics.

	The Device Diagnostics menu includes tools that help you:

	
		Check for software, data profile, and PRL updates
	
		Check and manage power usage
	
		View storage usage


	To return to the Sprint Zone home screen, tap the Back key twice.

	Otherwise, press the Home key to exit Sprint Zone.

	The Sprint Zone app is now closed.",device,,
1461,no_device,[],[],[],"protect information, improve smartphone security IQ","information, smartphone security IQ",Improve my smartphone security IQ,How else can I protect my information?,"Passcodes  Sprint customers should always use passcodes to lock their phones and make it harder for the phone to be accessible if lost or stolen. To find out how to set a passcode on your device, find your device User Guide at www.sprint.com/support . This will give you instructions if your device is capable of setting a passcode. Protection Applications- Total Equipment Protection (TEP) allows customers to download a protection application to locate a lost/stolen device as well as remotely lock the device, erase contacts, etc. For more information visit www.sprint.com/protection . Additional monthly charges apply for TEP. Lookout Mobile Security For more information, visit: https://www.mylookout.com Lookout Mobile Security: Plan B Get more information . Additional products are available in the Android, Blackberry and Apple marketplace. Protect voice mail  Use a passcode to retrieve voicemails rather than opting to skip it in order to maintain the highest level of security. Without it, anyone with access to the device can connect to voicemail.
Frequently asked Questions
Can I locate my device with Family Locator?
Yes, if you have Sprint Family Locator activated on your account. To find a lost or stolen phone, the phone must be turned on and in Sprint network coverage. The location will be approximate and will not be accurate enough to find a lost phone in a specific room in a house.
Can I buy a phone off ebay or craigslist and activate it on my account?
You should get the serial number of the device and then check with Sprint to make sure no bill is owed on that device and it hasn't been reported as lost/stolen. Devices that have been reported lost/stolen to Sprint cannot be re-activated on our network.",general,,
333,no_device,[],[],[],[],"Buy online, pick up in store, ","FAQs about Buy Online, Pick Up in Store",How does it work?,"Buy online, pick up in store is incredibly easy. To do so, simply select the device or devices you want and proceed to checkout. When you get to the Your Cart screen, scroll down to the Delivery options section and select, Pick it up in as little as an hour. (If this option is not available, then the device is currently not available for in-store pick up.)
Once you do that, the Pick up in store tool will appear.
The Pick up in store tool should guide you through the process quickly and easily, allowing you to look up your store, choose a date and time that is most convenient for you and get your confirmation. If you get hung up during the process, come back here and look through our guide.",general,,
38,no_device,['bill'],['cost'],[],[],"Familywall for sprint, cost of familywall ",FAQs about FamilyWall for Sprint,What is the cost to customers?,"Available at no charge to new and existing Sprint IL customers on Android and iPhone, and soon the Web. While there is no cost for FamilyWall for Sprint, users who require additional storage or have an interest in enhanced features, such as the ability to view photos and videos in HD, may subscribe to FamilyWall for Sprint Premium for $2.99 per month for one Wall.",general,,
